week,platform,mentions,pos_share,neg_share,sent_mean,score_mean
2013-06-24,instagram,1,0.0,0.0,0.0,0.0
2013-07-08,instagram,1,0.0,0.0,0.0,0.0
2013-08-05,instagram,1,1.0,0.0,1.0,1.0
2013-09-02,instagram,1,0.0,0.0,0.0,0.0
2014-02-17,instagram,1,0.0,0.0,0.0,0.0
2014-04-28,instagram,1,0.0,0.0,0.0,0.0
2014-08-25,instagram,1,0.0,0.0,0.0,0.0
2014-10-13,instagram,1,0.0,0.0,0.0,0.0
2015-03-30,instagram,1,0.0,0.0,0.0,0.0
2015-04-06,instagram,2,0.0,0.0,0.0,0.0
2015-05-04,instagram,2,0.0,0.0,0.0,0.0
2015-06-08,instagram,1,0.0,0.0,0.0,0.0
2015-06-29,instagram,1,0.0,0.0,0.0,0.0
2015-07-06,instagram,1,0.0,0.0,0.0,0.0
2015-07-27,instagram,1,0.0,0.0,0.0,0.0
2015-08-10,instagram,1,0.0,0.0,0.0,0.0
2015-10-05,instagram,1,0.0,0.0,0.0,0.0
2015-10-12,instagram,1,0.0,0.0,0.0,0.0
2015-11-09,instagram,1,1.0,0.0,1.0,1.0
2015-11-16,instagram,1,0.0,0.0,0.0,0.0
2015-11-30,instagram,1,0.0,0.0,0.0,0.0
2015-12-21,instagram,1,0.0,0.0,0.0,0.0
2015-12-28,instagram,1,1.0,0.0,1.0,1.0
2016-01-04,instagram,2,0.0,0.0,0.0,0.0
2016-01-11,instagram,1,0.0,0.0,0.0,0.0
2016-01-18,instagram,1,0.0,0.0,0.0,0.0
2016-02-01,instagram,1,1.0,0.0,1.0,1.0
2016-02-08,instagram,1,0.0,0.0,0.0,0.0
2016-02-22,instagram,2,0.0,0.0,0.0,0.0
2016-02-29,instagram,1,0.0,0.0,0.0,0.0
2016-03-21,instagram,4,0.25,0.0,0.25,0.25
2016-05-02,instagram,2,0.5,0.0,0.5,0.5
2016-06-13,instagram,1,0.0,0.0,0.0,0.0
2016-07-04,instagram,1,0.0,0.0,0.0,0.0
2016-07-18,instagram,1,0.0,0.0,0.0,0.0
2016-08-01,instagram,1,0.0,0.0,0.0,0.0
2016-08-08,instagram,1,0.0,0.0,0.0,0.0
2016-08-15,instagram,2,0.0,0.0,0.0,0.0
2016-08-22,instagram,3,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
2016-08-29,instagram,8,0.0,0.0,0.0,0.0
2016-09-05,instagram,7,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285
2016-09-12,instagram,5,0.2,0.0,0.2,0.2
2016-09-19,instagram,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
2016-09-26,instagram,6,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
2016-10-03,instagram,10,0.2,0.2,0.0,0.4
2016-10-10,instagram,2,0.5,0.0,0.5,0.5
2016-10-17,instagram,2,1.0,0.0,1.0,1.0
2016-10-24,instagram,2,0.5,0.5,0.0,1.0
2016-11-07,instagram,4,0.0,0.0,0.0,0.0
2016-11-14,instagram,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
2016-11-28,instagram,2,0.5,0.0,0.5,0.5
2016-12-05,instagram,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
2016-12-12,instagram,2,0.5,0.0,0.5,0.5
2016-12-26,instagram,2,1.0,0.0,1.0,1.0
2017-01-23,instagram,2,0.5,0.0,0.5,0.5
2017-02-20,instagram,3,0.0,0.0,0.0,0.0
2017-03-06,instagram,4,0.5,0.0,0.5,0.5
2017-03-13,instagram,1,0.0,1.0,-1.0,1.0
2017-03-27,instagram,8,0.25,0.125,0.125,0.375
2017-04-03,instagram,8,0.375,0.0,0.375,0.375
2017-04-17,instagram,2,0.0,0.0,0.0,0.0
2017-04-24,instagram,3,0.0,0.0,0.0,0.0
2017-05-01,instagram,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
2017-05-15,instagram,1,0.0,1.0,-1.0,1.0
2017-05-22,instagram,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
2017-05-29,instagram,2,0.5,0.0,0.5,0.5
2017-06-05,instagram,2,1.0,0.0,1.0,1.0
2017-06-12,instagram,1,0.0,0.0,0.0,0.0
2017-06-19,instagram,2,0.5,0.0,0.5,0.5
2017-06-26,instagram,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
2017-07-03,instagram,1,0.0,0.0,0.0,0.0
2017-07-10,instagram,4,0.25,0.25,0.0,0.5
2017-07-17,instagram,1,0.0,0.0,0.0,0.0
2017-07-24,instagram,1,0.0,0.0,0.0,0.0
2017-07-31,instagram,1,0.0,0.0,0.0,0.0
2017-08-07,instagram,1,0.0,0.0,0.0,0.0
2017-08-14,instagram,1,0.0,0.0,0.0,0.0
2017-08-21,instagram,2,0.0,0.0,0.0,0.0
2017-08-28,instagram,9,0.5555555555555556,0.1111111111111111,0.4444444444444444,0.6666666666666666
2017-09-04,instagram,12,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
2017-09-11,instagram,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
2017-09-18,instagram,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
2017-09-25,instagram,2,0.5,0.0,0.5,0.5
2017-10-02,instagram,3,1.0,0.0,1.0,1.0
2017-10-09,instagram,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
2017-10-16,instagram,1,0.0,0.0,0.0,0.0
2017-10-23,instagram,1,0.0,0.0,0.0,0.0
2017-10-30,instagram,7,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855
2017-11-06,instagram,2,1.0,0.0,1.0,1.0
2017-11-13,instagram,5,0.2,0.2,0.0,0.26666666666666666
2017-11-20,instagram,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
2017-11-27,instagram,4,0.0,0.0,0.0,0.0
2017-12-04,instagram,1,1.0,0.0,1.0,1.0
2017-12-11,instagram,5,0.4,0.0,0.4,0.4
2017-12-18,instagram,2,0.0,0.0,0.0,0.0
2017-12-25,instagram,6,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
2018-01-01,instagram,1,0.0,0.0,0.0,0.0
2018-01-08,instagram,6,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
2018-01-15,instagram,7,0.0,0.0,0.0,0.0
2018-01-22,instagram,6,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
2018-01-29,instagram,2,0.5,0.0,0.5,0.5
2018-02-05,instagram,4,0.5,0.0,0.5,0.5
2018-02-12,instagram,3,0.0,0.0,0.0,0.0
2018-02-19,instagram,2,0.0,0.0,0.0,0.0
2018-02-26,instagram,5,0.0,0.0,0.0,0.0
2018-03-05,instagram,7,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857
2018-03-12,instagram,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
2018-03-19,instagram,1,0.0,0.0,0.0,0.0
2018-03-26,instagram,11,0.09090909090909091,0.0,0.09090909090909091,0.045454545454545456
2018-04-02,instagram,3,0.0,0.0,0.0,0.0
2018-04-09,instagram,1,0.0,0.0,0.0,0.0
2018-04-16,instagram,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
