node,label,platform,node_type,city,in_degree,out_degree,betweenness,eigenvector,community
@swmotech_fr,@swmotech_fr,instagram,ig_user,,5.0,2.0,3.0742592076714816e-08,0.0,-1
@un.huitieme,@un.huitieme,instagram,ig_user,,2.0,1.0,3.842824009589352e-09,0.0,-1
yt:Honda Moto France,Honda Moto France,youtube,yt_channel,,11943.0,0.0,0.0,0.0,-1
yt:Honda Africa Twin,Honda Africa Twin,youtube,yt_channel,,3437.0,0.0,0.0,0.0,-1
yt:Honda Transalp,Honda Transalp,youtube,yt_channel,,2456.0,0.0,0.0,0.0,-1
yt:Dakota Stone,Dakota Stone,youtube,yt_channel,,999.0,0.0,0.0,0.0,-1
yt:Honda CB500X,Honda CB500X,youtube,yt_channel,,520.0,0.0,0.0,0.0,-1
yt:Caio Pieroni,Caio Pieroni,youtube,yt_channel,,401.0,0.0,0.0,0.0,-1
yt:TheBikerLane,TheBikerLane,youtube,yt_channel,,348.0,0.0,0.0,0.0,-1
yt:Honda Powersports-Outdoor Canada,Honda Powersports-Outdoor Canada,youtube,yt_channel,,327.0,0.0,0.0,0.0,-1
yt:MOTOR LIVE,MOTOR LIVE,youtube,yt_channel,,240.0,0.0,0.0,0.0,-1
yt:frere_o_stand,frere_o_stand,youtube,yt_channel,,211.0,0.0,0.0,0.0,-1
yt:Bikereview Pro,Bikereview Pro,youtube,yt_channel,,180.0,0.0,0.0,0.0,-1
yt:Jimmy Roméo,Jimmy Roméo,youtube,yt_channel,,172.0,0.0,0.0,0.0,-1
yt:MrRatSuper Life,MrRatSuper Life,youtube,yt_channel,,137.0,0.0,0.0,0.0,-1
yt:ISAIAS RF,ISAIAS RF,youtube,yt_channel,,136.0,0.0,0.0,0.0,-1
yt:Outback Motortek,Outback Motortek,youtube,yt_channel,,133.0,0.0,0.0,0.0,-1
yt:Moto Journal,Moto Journal,youtube,yt_channel,,131.0,0.0,0.0,0.0,-1
yt:Moto Magazine,Moto Magazine,youtube,yt_channel,,124.0,0.0,0.0,0.0,-1
yt:Alin With the R6,Alin With the R6,youtube,yt_channel,,89.0,0.0,0.0,0.0,-1
@africa_twin_riders,@africa_twin_riders,instagram,ig_user,,79.0,0.0,0.0,0.0,-1
@loneridergear,@loneridergear,instagram,ig_user,,78.0,0.0,0.0,0.0,-1
yt:Lunaris2142,Lunaris2142,youtube,yt_channel,,78.0,0.0,0.0,0.0,-1
yt:High Side,High Side,youtube,yt_channel,,78.0,0.0,0.0,0.0,-1
yt:Soul Riders Motocicletas,Soul Riders Motocicletas,youtube,yt_channel,,76.0,0.0,0.0,0.0,-1
